Epic,Module,Description
CX3PMR-3421,Action.cpp , HLR Decomposition from module:  \base\source\Action.cpp
CX3PMR-3421,Actmgr.cpp , HLR Decomposition from module:  \base\source\Actmgr.cpp
CX3PMR-3421,Address_handler_generic.cpp , HLR Decomposition from module:  \base\source\Address_handler_generic.cpp
CX3PMR-3421,ADSB_cfg.cpp , HLR Decomposition from module:  \base\source\ADSB_cfg.cpp
CX3PMR-3421,aes.cpp , HLR Decomposition from module:  \base\source\aes.cpp
CX3PMR-3421,Angle_integer.cpp , HLR Decomposition from module:  \base\source\Angle_integer.cpp
CX3PMR-3421,Apos_data.cpp , HLR Decomposition from module:  \base\source\Apos_data.cpp
CX3PMR-3421,Arcadecfg.cpp , HLR Decomposition from module:  \base\source\Arcadecfg.cpp
CX3PMR-3421,Arinc_frame.cpp , HLR Decomposition from module:  \base\source\Arinc_frame.cpp
CX3PMR-3421,Async_transfer_data.cpp , HLR Decomposition from module:  \base\source\Async_transfer_data.cpp
CX3PMR-3421,ATcmd_task.cpp , HLR Decomposition from module:  \base\source\ATcmd_task.cpp
CX3PMR-3421,ATmsg_parser.cpp , HLR Decomposition from module:  \base\source\ATmsg_parser.cpp
CX3PMR-3421,Auth_connection.cpp , HLR Decomposition from module:  \base\source\Auth_connection.cpp
CX3PMR-3421,Bootlog.cpp , HLR Decomposition from module:  \base\source\Bootlog.cpp
CX3PMR-3421,CAN_stats.cpp , HLR Decomposition from module:  \base\source\CAN_stats.cpp
CX3PMR-3421,CANframe_fifo32.cpp , HLR Decomposition from module:  \base\source\CANframe_fifo32.cpp
CX3PMR-3421,CANframe.cpp , HLR Decomposition from module:  \base\source\CANframe.cpp
CX3PMR-3421,CANgpio_p.cpp , HLR Decomposition from module:  \base\source\CANgpio_p.cpp
CX3PMR-3421,CANid_filter.cpp , HLR Decomposition from module:  \base\source\CANid_filter.cpp
CX3PMR-3421,CANid.cpp , HLR Decomposition from module:  \base\source\CANid.cpp
CX3PMR-3421,CANin_mgr.cpp , HLR Decomposition from module:  \base\source\CANin_mgr.cpp
CX3PMR-3421,CANin_p.cpp , HLR Decomposition from module:  \base\source\CANin_p.cpp
CX3PMR-3421,CANout_mgr.cpp , HLR Decomposition from module:  \base\source\CANout_mgr.cpp
CX3PMR-3421,CANserial_parser.cpp , HLR Decomposition from module:  \base\source\CANserial_parser.cpp
CX3PMR-3421,CANserial.cpp , HLR Decomposition from module:  \base\source\CANserial.cpp
CX3PMR-3421,CANunwrapper.cpp , HLR Decomposition from module:  \base\source\CANunwrapper.cpp
CX3PMR-3421,CANwrapper.cpp , HLR Decomposition from module:  \base\source\CANwrapper.cpp
CX3PMR-3421,Cfg_utils.cpp , HLR Decomposition from module:  \base\source\Cfg_utils.cpp
CX3PMR-3421,Cfgid_mode.cpp , HLR Decomposition from module:  \base\source\Cfgid_mode.cpp
CX3PMR-3421,Cfgsync.cpp , HLR Decomposition from module:  \base\source\Cfgsync.cpp
CX3PMR-3421,Channelmgr.cpp , HLR Decomposition from module:  \base\source\Channelmgr.cpp
CX3PMR-3421,Channelmgrcfg.cpp , HLR Decomposition from module:  \base\source\Channelmgrcfg.cpp
