Epic,Module,Description
CX3PMR-3652,ADC121C021Q.cpp , HLR Decomposition from module:  \devices\source\ADC121C021Q.cpp
CX3PMR-3652,Adis165053_cfg.cpp , HLR Decomposition from module:  \devices\source\Adis165053_cfg.cpp
CX3PMR-3652,Adis165053.cpp , HLR Decomposition from module:  \devices\source\Adis165053.cpp
CX3PMR-3652,ADS7828.cpp , HLR Decomposition from module:  \devices\source\ADS7828.cpp
CX3PMR-3652,AMC6821.cpp , HLR Decomposition from module:  \devices\source\AMC6821.cpp
CX3PMR-3652,Arinc_hi_3210.cpp , HLR Decomposition from module:  \devices\source\Arinc_hi_3210.cpp
CX3PMR-3652,ASCII_configured_dev.cpp , HLR Decomposition from module:  \devices\source\ASCII_configured_dev.cpp
CX3PMR-3652,Bmi088_cfg.cpp , HLR Decomposition from module:  \devices\source\Bmi088_cfg.cpp
CX3PMR-3652,Bmi088_spi.cpp , HLR Decomposition from module:  \devices\source\Bmi088_spi.cpp
CX3PMR-3652,Bmi088.cpp , HLR Decomposition from module:  \devices\source\Bmi088.cpp
CX3PMR-3652,Dev_press_cfg.cpp , HLR Decomposition from module:  \devices\source\Dev_press_cfg.cpp
CX3PMR-3652,Dps310.cpp , HLR Decomposition from module:  \devices\source\Dps310.cpp
CX3PMR-3652,EEPROM_24CS.cpp , HLR Decomposition from module:  \devices\source\EEPROM_24CS.cpp
CX3PMR-3652,Garminlite.cpp , HLR Decomposition from module:  \devices\source\Garminlite.cpp
CX3PMR-3652,Honeywell_press.cpp , HLR Decomposition from module:  \devices\source\Honeywell_press.cpp
CX3PMR-3652,Hscdtd008a.cpp , HLR Decomposition from module:  \devices\source\Hscdtd008a.cpp
CX3PMR-3652,HSCpress_adc.cpp , HLR Decomposition from module:  \devices\source\HSCpress_adc.cpp
CX3PMR-3652,HSCpress.cpp , HLR Decomposition from module:  \devices\source\HSCpress.cpp
CX3PMR-3652,I2Cdev_cfg.cpp , HLR Decomposition from module:  \devices\source\I2Cdev_cfg.cpp
CX3PMR-3652,I2Cdevices.cpp , HLR Decomposition from module:  \devices\source\I2Cdevices.cpp
CX3PMR-3652,Imu_params.cpp , HLR Decomposition from module:  \devices\source\Imu_params.cpp
CX3PMR-3652,INA3221.cpp , HLR Decomposition from module:  \devices\source\INA3221.cpp
CX3PMR-3652,Internest.cpp , HLR Decomposition from module:  \devices\source\Internest.cpp
CX3PMR-3652,Internestsimdev.cpp , HLR Decomposition from module:  \devices\source\Internestsimdev.cpp
CX3PMR-3652,Lidarsimdev.cpp , HLR Decomposition from module:  \devices\source\Lidarsimdev.cpp
CX3PMR-3652,Lis3mdl.cpp , HLR Decomposition from module:  \devices\source\Lis3mdl.cpp
CX3PMR-3652,LMT86.cpp , HLR Decomposition from module:  \devices\source\LMT86.cpp
CX3PMR-3652,Lsm6dsx_cfg.cpp , HLR Decomposition from module:  \devices\source\Lsm6dsx_cfg.cpp
CX3PMR-3652,Lsm6dsx_i2c.cpp , HLR Decomposition from module:  \devices\source\Lsm6dsx_i2c.cpp
CX3PMR-3652,Lsm6dsx_mcbsp.cpp , HLR Decomposition from module:  \devices\source\Lsm6dsx_mcbsp.cpp
CX3PMR-3652,Lsm6dsx_spi.cpp , HLR Decomposition from module:  \devices\source\Lsm6dsx_spi.cpp
CX3PMR-3652,Lsm6dsx.cpp , HLR Decomposition from module:  \devices\source\Lsm6dsx.cpp
CX3PMR-3652,Mmc5883ma.cpp , HLR Decomposition from module:  \devices\source\Mmc5883ma.cpp
CX3PMR-3652,Ms561101ba03.cpp , HLR Decomposition from module:  \devices\source\Ms561101ba03.cpp
CX3PMR-3652,MX66L.cpp , HLR Decomposition from module:  \devices\source\MX66L.cpp
CX3PMR-3652,Noisegen.cpp , HLR Decomposition from module:  \devices\source\Noisegen.cpp
CX3PMR-3652,Noisegen3D.cpp , HLR Decomposition from module:  \devices\source\Noisegen3D.cpp
CX3PMR-3652,Ntcs0603.cpp , HLR Decomposition from module:  \devices\source\Ntcs0603.cpp
CX3PMR-3652,PMIC_TPS65381A.cpp , HLR Decomposition from module:  \devices\source\PMIC_TPS65381A.cpp
CX3PMR-3652,Rawmea3.cpp , HLR Decomposition from module:  \devices\source\Rawmea3.cpp
CX3PMR-3652,Rawpcfg.cpp , HLR Decomposition from module:  \devices\source\Rawpcfg.cpp
CX3PMR-3652,RM3100.cpp , HLR Decomposition from module:  \devices\source\RM3100.cpp
CX3PMR-3652,Rtksimdev.cpp , HLR Decomposition from module:  \devices\source\Rtksimdev.cpp
CX3PMR-3652,Sara_cfg.cpp , HLR Decomposition from module:  \devices\source\Sara_cfg.cpp
CX3PMR-3652,Sara.cpp , HLR Decomposition from module:  \devices\source\Sara.cpp
CX3PMR-3652,SC18IM704.cpp , HLR Decomposition from module:  \devices\source\SC18IM704.cpp
CX3PMR-3652,SFLidar.cpp , HLR Decomposition from module:  \devices\source\SFLidar.cpp
CX3PMR-3652,Sim_noise.cpp , HLR Decomposition from module:  \devices\source\Sim_noise.cpp
CX3PMR-3652,Simdev.cpp , HLR Decomposition from module:  \devices\source\Simdev.cpp
CX3PMR-3652,Simdev3D.cpp , HLR Decomposition from module:  \devices\source\Simdev3D.cpp
CX3PMR-3652,Sincos_sensor.cpp , HLR Decomposition from module:  \devices\source\Sincos_sensor.cpp
CX3PMR-3652,Speed_hall.cpp , HLR Decomposition from module:  \devices\source\Speed_hall.cpp
CX3PMR-3652,STLM20.cpp , HLR Decomposition from module:  \devices\source\STLM20.cpp
CX3PMR-3652,Sxp.cpp , HLR Decomposition from module:  \devices\source\Sxp.cpp
CX3PMR-3652,Thermistor_2nd.cpp , HLR Decomposition from module:  \devices\source\Thermistor_2nd.cpp
CX3PMR-3652,Thermistor_b.cpp , HLR Decomposition from module:  \devices\source\Thermistor_b.cpp
CX3PMR-3652,TMP112.cpp , HLR Decomposition from module:  \devices\source\TMP112.cpp
CX3PMR-3652,TPS92664.cpp , HLR Decomposition from module:  \devices\source\TPS92664.cpp
CX3PMR-3652,Transponder_parser.cpp , HLR Decomposition from module:  \devices\source\Transponder_parser.cpp
CX3PMR-3652,Transponder.cpp , HLR Decomposition from module:  \devices\source\Transponder.cpp
CX3PMR-3652,Ubxcfgdata.cpp , HLR Decomposition from module:  \devices\source\Ubxcfgdata.cpp
CX3PMR-3652,Ubxcfgitfm.cpp , HLR Decomposition from module:  \devices\source\Ubxcfgitfm.cpp
CX3PMR-3652,Ubxcfgmsgrate.cpp , HLR Decomposition from module:  \devices\source\Ubxcfgmsgrate.cpp
CX3PMR-3652,Ubxcfgnav5.cpp , HLR Decomposition from module:  \devices\source\Ubxcfgnav5.cpp
CX3PMR-3652,Ubxcfgnavx5.cpp , HLR Decomposition from module:  \devices\source\Ubxcfgnavx5.cpp
CX3PMR-3652,Ubxcfgport.cpp , HLR Decomposition from module:  \devices\source\Ubxcfgport.cpp
CX3PMR-3652,Ubxcfgrate.cpp , HLR Decomposition from module:  \devices\source\Ubxcfgrate.cpp
CX3PMR-3652,Ubxcfgsbas.cpp , HLR Decomposition from module:  \devices\source\Ubxcfgsbas.cpp
CX3PMR-3652,Ubxcfgtmode3.cpp , HLR Decomposition from module:  \devices\source\Ubxcfgtmode3.cpp
CX3PMR-3652,Ubxcfgtp5.cpp , HLR Decomposition from module:  \devices\source\Ubxcfgtp5.cpp
CX3PMR-3652,Ubxdop.cpp , HLR Decomposition from module:  \devices\source\Ubxdop.cpp
CX3PMR-3652,Ubxhp.cpp , HLR Decomposition from module:  \devices\source\Ubxhp.cpp
CX3PMR-3652,Ubxmonhw.cpp , HLR Decomposition from module:  \devices\source\Ubxmonhw.cpp
CX3PMR-3652,Ubxpkt.cpp , HLR Decomposition from module:  \devices\source\Ubxpkt.cpp
CX3PMR-3652,Ubxpvt.cpp , HLR Decomposition from module:  \devices\source\Ubxpvt.cpp
CX3PMR-3652,Ubxreset.cpp , HLR Decomposition from module:  \devices\source\Ubxreset.cpp
CX3PMR-3652,Ubxrned.cpp , HLR Decomposition from module:  \devices\source\Ubxrned.cpp
CX3PMR-3652,Ubxrtcminst.cpp , HLR Decomposition from module:  \devices\source\Ubxrtcminst.cpp
CX3PMR-3652,Ubxrxmsfrbx.cpp , HLR Decomposition from module:  \devices\source\Ubxrxmsfrbx.cpp
CX3PMR-3652,Ubxstatus.cpp , HLR Decomposition from module:  \devices\source\Ubxstatus.cpp
CX3PMR-3652,Ubxsvin.cpp , HLR Decomposition from module:  \devices\source\Ubxsvin.cpp
CX3PMR-3652,Ubxtgps.cpp , HLR Decomposition from module:  \devices\source\Ubxtgps.cpp
CX3PMR-3652,Ubxtimtp.cpp , HLR Decomposition from module:  \devices\source\Ubxtimtp.cpp
CX3PMR-3652,Ubxtutc.cpp , HLR Decomposition from module:  \devices\source\Ubxtutc.cpp
CX3PMR-3652,Uid_sd_pimpl.cpp , HLR Decomposition from module:  \devices\source\Uid_sd_pimpl.cpp
CX3PMR-3652,USDdrv.cpp , HLR Decomposition from module:  \devices\source\USDdrv.cpp
CX3PMR-3652,Vn300.cpp , HLR Decomposition from module:  \devices\source\Vn300.cpp
CX3PMR-3652,Vn300pkt.cpp , HLR Decomposition from module:  \devices\source\Vn300pkt.cpp
CX3PMR-3652,Xr20m1172.cpp , HLR Decomposition from module:  \devices\source\Xr20m1172.cpp
