Epic,Module,Description
CX3PMR-3749,ADC_2837x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\ADC_2837x.cpp
CX3PMR-3749,ADC_mc_28377.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\ADC_mc_28377.cpp
CX3PMR-3749,ADC.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\ADC.cpp
CX3PMR-3749,Analog_subsys.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\Analog_subsys.cpp
CX3PMR-3749,CAN_FD_dummy.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\CAN_FD_dummy.cpp
CX3PMR-3749,CAN.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\CAN.cpp
CX3PMR-3749,Clkcfgb.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\Clkcfgb.cpp
CX3PMR-3749,Cpusys.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\Cpusys.cpp
CX3PMR-3749,Delay.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\Delay.cpp
CX3PMR-3749,DMA_2837x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\DMA_2837x.cpp
CX3PMR-3749,DMA.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\DMA.cpp
CX3PMR-3749,DMAcfg.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\DMAcfg.cpp
CX3PMR-3749,ECAP_2837x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\ECAP_2837x.cpp
CX3PMR-3749,Emif1_2837x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\Emif1_2837x.cpp
CX3PMR-3749,Emif1.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\Emif1.cpp
CX3PMR-3749,Flash_2837x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\Flash_2837x.cpp
CX3PMR-3749,GPIO.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\GPIO.cpp
CX3PMR-3749,GPIOioctl.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\GPIOioctl.cpp
CX3PMR-3749,GPIOvalid.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\GPIOvalid.cpp
CX3PMR-3749,Htime.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\Htime.cpp
CX3PMR-3749,I2Cif_2837x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\I2Cif_2837x.cpp
CX3PMR-3749,Ipc_2837x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\Ipc_2837x.cpp
CX3PMR-3749,ISRmgr.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\ISRmgr.cpp
CX3PMR-3749,Kclk.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\Kclk.cpp
CX3PMR-3749,Mcbsp.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\Mcbsp.cpp
CX3PMR-3749,Memcfg.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\Memcfg.cpp
CX3PMR-3749,Piectrl.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\Piectrl.cpp
CX3PMR-3749,Pwmdev_2837x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\Pwmdev_2837x.cpp
CX3PMR-3749,Pwmdev_mc_28377.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\Pwmdev_mc_28377.cpp
CX3PMR-3749,Pwmdev.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\Pwmdev.cpp
CX3PMR-3749,SCI_2837x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\SCI_2837x.cpp
CX3PMR-3749,SPI_2837x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\SPI_2837x.cpp
CX3PMR-3749,Timer_2837x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\Timer_2837x.cpp
CX3PMR-3749,Watchdog.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\Watchdog.cpp
CX3PMR-3749,Bldr_28377.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu1\Bldr_28377.cpp
CX3PMR-3749,CM_helpers_28377.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu1\CM_helpers_28377.cpp
CX3PMR-3749,Default_isr_cpu1.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu1\Default_isr_cpu1.cpp
CX3PMR-3749,Devcfg_2837x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu1\Devcfg_2837x.cpp
CX3PMR-3749,Devcfg.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu1\Devcfg.cpp
CX3PMR-3749,ECAP_ioctl_2837x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu1\ECAP_ioctl_2837x.cpp
CX3PMR-3749,Flash_wr_2837x_cbs.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu1\Flash_wr_2837x_cbs.cpp
CX3PMR-3749,Flash_wr_2837x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu1\Flash_wr_2837x.cpp
CX3PMR-3749,GPIOxbar_in.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu1\GPIOxbar_in.cpp
CX3PMR-3749,Hdual_cpu1.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu1\Hdual_cpu1.cpp
CX3PMR-3749,PLL_cpu1_2837x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu1\PLL_cpu1_2837x.cpp
CX3PMR-3749,Reset_2837x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu1\Reset_2837x.cpp
CX3PMR-3749,Sys_regs_2837x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu1\Sys_regs_2837x.cpp
CX3PMR-3749,System_cpu1.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu1\System_cpu1.cpp
CX3PMR-3749,USB0.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu1\USB0.cpp
CX3PMR-3749,User_otp_2837x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu1\User_otp_2837x.cpp
CX3PMR-3749,Wipe_memory_c1_2838x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu1\Wipe_memory_c1_2838x.cpp
CX3PMR-3749,Default_isr_cpu2.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu2\Default_isr_cpu2.cpp
CX3PMR-3749,Hdual.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu2\Hdual.cpp
CX3PMR-3749,System_cpu2.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu2\System_cpu2.cpp
CX3PMR-3749,Sysuid_cpu2.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu2\Sysuid_cpu2.cpp
CX3PMR-3749,Wipe_memory_c2_2838x.cpp , HLR Decomposition from module:  \DSP2837x_ent\source\common\\cpu2\Wipe_memory_c2_2838x.cpp
