Epic,Module,Description
CX3PMR-3750,Bldr_2838x.cpp , HLR Decomposition from module:  \DSP2838x_ent\source\cpu1\Bldr_2838x.cpp
CX3PMR-3750,CM_helpers.cpp , HLR Decomposition from module:  \DSP2838x_ent\source\cpu1\CM_helpers.cpp
CX3PMR-3750,Cpusys_2838x.cpp , HLR Decomposition from module:  \DSP2838x_ent\source\cpu1\Cpusys_2838x.cpp
CX3PMR-3750,ECAP_ioctl_2838x.cpp , HLR Decomposition from module:  \DSP2838x_ent\source\cpu1\ECAP_ioctl_2838x.cpp
CX3PMR-3750,PMbusdrv_drv.cpp , HLR Decomposition from module:  \DSP2838x_ent\source\cpu1\PMbusdrv_drv.cpp
CX3PMR-3750,User_otp_2838x.cpp , HLR Decomposition from module:  \DSP2838x_ent\source\cpu1\User_otp_2838x.cpp
CX3PMR-3750,2838x_device.c , HLR Decomposition from module:  \DSP2838x_ent\source\\ti\2838x_device.c
CX3PMR-3750,adc.c , HLR Decomposition from module:  \DSP2838x_ent\source\\ti\adc.c
CX3PMR-3750,asysctl.c , HLR Decomposition from module:  \DSP2838x_ent\source\\ti\asysctl.c
CX3PMR-3750,bgcrc.c , HLR Decomposition from module:  \DSP2838x_ent\source\\ti\bgcrc.c
CX3PMR-3750,can.c , HLR Decomposition from module:  \DSP2838x_ent\source\\ti\can.c
CX3PMR-3750,cla.c , HLR Decomposition from module:  \DSP2838x_ent\source\\ti\cla.c
CX3PMR-3750,clb.c , HLR Decomposition from module:  \DSP2838x_ent\source\\ti\clb.c
CX3PMR-3750,cmpss.c , HLR Decomposition from module:  \DSP2838x_ent\source\\ti\cmpss.c
CX3PMR-3750,cputimer.c , HLR Decomposition from module:  \DSP2838x_ent\source\\ti\cputimer.c
CX3PMR-3750,dac.c , HLR Decomposition from module:  \DSP2838x_ent\source\\ti\dac.c
CX3PMR-3750,dcc.c , HLR Decomposition from module:  \DSP2838x_ent\source\\ti\dcc.c
CX3PMR-3750,dcsm.c , HLR Decomposition from module:  \DSP2838x_ent\source\\ti\dcsm.c
