Epic,Module,Description
CX3PMR-3748,Absolute_time.cpp , HLR Decomposition from module:  \DSP28x\source\Absolute_time.cpp
CX3PMR-3748,CAN_FD_cfg_dummy.cpp , HLR Decomposition from module:  \DSP28x\source\CAN_FD_cfg_dummy.cpp
CX3PMR-3748,CAN_FD_common.cpp , HLR Decomposition from module:  \DSP28x\source\CAN_FD_common.cpp
CX3PMR-3748,CANcfg.cpp , HLR Decomposition from module:  \DSP28x\source\CANcfg.cpp
CX3PMR-3748,Dbgier_impl.cpp , HLR Decomposition from module:  \DSP28x\source\Dbgier_impl.cpp
CX3PMR-3748,DMAtrigger.cpp , HLR Decomposition from module:  \DSP28x\source\DMAtrigger.cpp
CX3PMR-3748,dummy_malloc.c , HLR Decomposition from module:  \DSP28x\source\dummy_malloc.c
CX3PMR-3748,ECAP.cpp , HLR Decomposition from module:  \DSP28x\source\ECAP.cpp
CX3PMR-3748,ECAPcfg.cpp , HLR Decomposition from module:  \DSP28x\source\ECAPcfg.cpp
CX3PMR-3748,Fsector.cpp , HLR Decomposition from module:  \DSP28x\source\Fsector.cpp
CX3PMR-3748,GPIOpulse_action.cpp , HLR Decomposition from module:  \DSP28x\source\GPIOpulse_action.cpp
CX3PMR-3748,GPIOtoggler_ex.cpp , HLR Decomposition from module:  \DSP28x\source\GPIOtoggler_ex.cpp
CX3PMR-3748,I2Carbiter.cpp , HLR Decomposition from module:  \DSP28x\source\I2Carbiter.cpp
CX3PMR-3748,I2Cdevice.cpp , HLR Decomposition from module:  \DSP28x\source\I2Cdevice.cpp
CX3PMR-3748,I2Cif.cpp , HLR Decomposition from module:  \DSP28x\source\I2Cif.cpp
CX3PMR-3748,SCI.cpp , HLR Decomposition from module:  \DSP28x\source\SCI.cpp
CX3PMR-3748,SCIcfg.cpp , HLR Decomposition from module:  \DSP28x\source\SCIcfg.cpp
CX3PMR-3748,SPI_port_util.cpp , HLR Decomposition from module:  \DSP28x\source\SPI_port_util.cpp
CX3PMR-3748,SPI.cpp , HLR Decomposition from module:  \DSP28x\source\SPI.cpp
CX3PMR-3748,SPIcfg.cpp , HLR Decomposition from module:  \DSP28x\source\SPIcfg.cpp
CX3PMR-3748,Stackchk.cpp , HLR Decomposition from module:  \DSP28x\source\Stackchk.cpp
CX3PMR-3748,Sysaddr_mc.cpp , HLR Decomposition from module:  \DSP28x\source\Sysaddr_mc.cpp
CX3PMR-3748,Sysaddr_sc.cpp , HLR Decomposition from module:  \DSP28x\source\Sysaddr_sc.cpp
CX3PMR-3748,Sysuid_otp.cpp , HLR Decomposition from module:  \DSP28x\source\Sysuid_otp.cpp
CX3PMR-3748,Timer.cpp , HLR Decomposition from module:  \DSP28x\source\Timer.cpp
CX3PMR-3748,User_otp.cpp , HLR Decomposition from module:  \DSP28x\source\User_otp.cpp
CX3PMR-3748,Warning.cpp , HLR Decomposition from module:  \DSP28x\source\Warning.cpp
