Epic,Module,Description
CX3PMR-3752,Memmgr_ARM.cpp , HLR Decomposition from module:  \first\source\ARM\Memmgr_ARM.cpp
CX3PMR-3752,Memmgr_c2000.cpp , HLR Decomposition from module:  \first\source\C2000\Memmgr_c2000.cpp
CX3PMR-3752,Allocator.cpp , HLR Decomposition from module:  \first\source\C2000\Allocator.cpp
CX3PMR-3752,Async_res.cpp , HLR Decomposition from module:  \first\source\C2000\Async_res.cpp
CX3PMR-3752,Atunarray.cpp , HLR Decomposition from module:  \first\source\C2000\Atunarray.cpp
CX3PMR-3752,Bitmblock.cpp , HLR Decomposition from module:  \first\source\C2000\Bitmblock.cpp
CX3PMR-3752,Bitutils.cpp , HLR Decomposition from module:  \first\source\C2000\Bitutils.cpp
CX3PMR-3752,Bvar.cpp , HLR Decomposition from module:  \first\source\C2000\Bvar.cpp
CX3PMR-3752,Call_stat.cpp , HLR Decomposition from module:  \first\source\C2000\Call_stat.cpp
CX3PMR-3752,Call_statchk.cpp , HLR Decomposition from module:  \first\source\C2000\Call_statchk.cpp
CX3PMR-3752,Chrono.cpp , HLR Decomposition from module:  \first\source\C2000\Chrono.cpp
CX3PMR-3752,Dsync.cpp , HLR Decomposition from module:  \first\source\C2000\Dsync.cpp
CX3PMR-3752,Endian16_big.cpp , HLR Decomposition from module:  \first\source\C2000\Endian16_big.cpp
CX3PMR-3752,Endian16_little.cpp , HLR Decomposition from module:  \first\source\C2000\Endian16_little.cpp
CX3PMR-3752,Endian3.cpp , HLR Decomposition from module:  \first\source\C2000\Endian3.cpp
CX3PMR-3752,Endian32_big.cpp , HLR Decomposition from module:  \first\source\C2000\Endian32_big.cpp
CX3PMR-3752,Endian32_little.cpp , HLR Decomposition from module:  \first\source\C2000\Endian32_little.cpp
CX3PMR-3752,Endian64_big.cpp , HLR Decomposition from module:  \first\source\C2000\Endian64_big.cpp
CX3PMR-3752,Endian64_little.cpp , HLR Decomposition from module:  \first\source\C2000\Endian64_little.cpp
CX3PMR-3752,Error.cpp , HLR Decomposition from module:  \first\source\C2000\Error.cpp
CX3PMR-3752,File_sync.cpp , HLR Decomposition from module:  \first\source\C2000\File_sync.cpp
CX3PMR-3752,Kstring.cpp , HLR Decomposition from module:  \first\source\C2000\Kstring.cpp
CX3PMR-3752,Lock.cpp , HLR Decomposition from module:  \first\source\C2000\Lock.cpp
CX3PMR-3752,Lossy.cpp , HLR Decomposition from module:  \first\source\C2000\Lossy.cpp
CX3PMR-3752,Mcopy.cpp , HLR Decomposition from module:  \first\source\C2000\Mcopy.cpp
CX3PMR-3752,Memcpy32.cpp , HLR Decomposition from module:  \first\source\C2000\Memcpy32.cpp
CX3PMR-3752,Mutex.cpp , HLR Decomposition from module:  \first\source\C2000\Mutex.cpp
CX3PMR-3752,PDIcheck.cpp , HLR Decomposition from module:  \first\source\C2000\PDIcheck.cpp
CX3PMR-3752,Real16.cpp , HLR Decomposition from module:  \first\source\C2000\Real16.cpp
CX3PMR-3752,Rfun.cpp , HLR Decomposition from module:  \first\source\C2000\Rfun.cpp
CX3PMR-3752,Rvar.cpp , HLR Decomposition from module:  \first\source\C2000\Rvar.cpp
CX3PMR-3752,String_parser.cpp , HLR Decomposition from module:  \first\source\C2000\String_parser.cpp
CX3PMR-3752,Strutil.cpp , HLR Decomposition from module:  \first\source\C2000\Strutil.cpp
CX3PMR-3752,Systime.cpp , HLR Decomposition from module:  \first\source\C2000\Systime.cpp
CX3PMR-3752,Timeout.cpp , HLR Decomposition from module:  \first\source\C2000\Timeout.cpp
CX3PMR-3752,Tmem.cpp , HLR Decomposition from module:  \first\source\C2000\Tmem.cpp
CX3PMR-3752,Ttime.cpp , HLR Decomposition from module:  \first\source\C2000\Ttime.cpp
CX3PMR-3752,Tuntraits.cpp , HLR Decomposition from module:  \first\source\C2000\Tuntraits.cpp
CX3PMR-3752,U16stream_r.cpp , HLR Decomposition from module:  \first\source\C2000\U16stream_r.cpp
CX3PMR-3752,U16stream_w.cpp , HLR Decomposition from module:  \first\source\C2000\U16stream_w.cpp
CX3PMR-3752,U8istream.cpp , HLR Decomposition from module:  \first\source\C2000\U8istream.cpp
CX3PMR-3752,U8ostream.cpp , HLR Decomposition from module:  \first\source\C2000\U8ostream.cpp
CX3PMR-3752,U8pkfifospsc.cpp , HLR Decomposition from module:  \first\source\C2000\U8pkfifospsc.cpp
CX3PMR-3752,U8pkfifospsc0.cpp , HLR Decomposition from module:  \first\source\C2000\U8pkfifospsc0.cpp
CX3PMR-3752,U8pkfifospscrd_commit.cpp , HLR Decomposition from module:  \first\source\C2000\U8pkfifospscrd_commit.cpp
CX3PMR-3752,U8pkfifospscwr_commit.cpp , HLR Decomposition from module:  \first\source\C2000\U8pkfifospscwr_commit.cpp
CX3PMR-3752,U8pkmblock_k.cpp , HLR Decomposition from module:  \first\source\C2000\U8pkmblock_k.cpp
CX3PMR-3752,U8pkmblock.cpp , HLR Decomposition from module:  \first\source\C2000\U8pkmblock.cpp
CX3PMR-3752,U8str_stream.cpp , HLR Decomposition from module:  \first\source\C2000\U8str_stream.cpp
CX3PMR-3752,Uarray.cpp , HLR Decomposition from module:  \first\source\C2000\Uarray.cpp
CX3PMR-3752,Ubxtime.cpp , HLR Decomposition from module:  \first\source\C2000\Ubxtime.cpp
CX3PMR-3752,Uvar.cpp , HLR Decomposition from module:  \first\source\C2000\Uvar.cpp
CX3PMR-3752,Vector_u8.cpp , HLR Decomposition from module:  \first\source\C2000\Vector_u8.cpp
CX3PMR-3752,Vref.cpp , HLR Decomposition from module:  \first\source\C2000\Vref.cpp
CX3PMR-3752,Vstring.cpp , HLR Decomposition from module:  \first\source\C2000\Vstring.cpp
