Epic,Module,Description
CX3PMR-3756,Biquad_iir_3d.cpp , HLR Decomposition from module:  \maverick\source\Biquad_iir_3d.cpp
CX3PMR-3756,Biquad_notch_lpf_3d.cpp , HLR Decomposition from module:  \maverick\source\Biquad_notch_lpf_3d.cpp
CX3PMR-3756,Butterw_2.cpp , HLR Decomposition from module:  \maverick\source\Butterw_2.cpp
CX3PMR-3756,Clarke.cpp , HLR Decomposition from module:  \maverick\source\Clarke.cpp
CX3PMR-3756,Diff_finite.cpp , HLR Decomposition from module:  \maverick\source\Diff_finite.cpp
CX3PMR-3756,Dotfpu.cpp , HLR Decomposition from module:  \maverick\source\Dotfpu.cpp
CX3PMR-3756,dotp.cpp , HLR Decomposition from module:  \maverick\source\dotp.cpp
CX3PMR-3756,Dyn_rtable.cpp , HLR Decomposition from module:  \maverick\source\Dyn_rtable.cpp
CX3PMR-3756,Ewma_avgvar.cpp , HLR Decomposition from module:  \maverick\source\Ewma_avgvar.cpp
CX3PMR-3756,Ewma.cpp , HLR Decomposition from module:  \maverick\source\Ewma.cpp
CX3PMR-3756,Fast_tanh.cpp , HLR Decomposition from module:  \maverick\source\Fast_tanh.cpp
CX3PMR-3756,Fastatan2.cpp , HLR Decomposition from module:  \maverick\source\Fastatan2.cpp
CX3PMR-3756,Find_scalar_zero_interval.cpp , HLR Decomposition from module:  \maverick\source\Find_scalar_zero_interval.cpp
CX3PMR-3756,Fir.cpp , HLR Decomposition from module:  \maverick\source\Fir.cpp
CX3PMR-3756,Fir3.cpp , HLR Decomposition from module:  \maverick\source\Fir3.cpp
CX3PMR-3756,IIR_2.cpp , HLR Decomposition from module:  \maverick\source\IIR_2.cpp
CX3PMR-3756,IIR_2cfg.cpp , HLR Decomposition from module:  \maverick\source\IIR_2cfg.cpp
CX3PMR-3756,Iir.cpp , HLR Decomposition from module:  \maverick\source\Iir.cpp
CX3PMR-3756,IIR3_2.cpp , HLR Decomposition from module:  \maverick\source\IIR3_2.cpp
CX3PMR-3756,Inv_clarke.cpp , HLR Decomposition from module:  \maverick\source\Inv_clarke.cpp
CX3PMR-3756,Inv_park.cpp , HLR Decomposition from module:  \maverick\source\Inv_park.cpp
CX3PMR-3756,Ir64matrix3.cpp , HLR Decomposition from module:  \maverick\source\Ir64matrix3.cpp
CX3PMR-3756,Irmatrix2.cpp , HLR Decomposition from module:  \maverick\source\Irmatrix2.cpp
CX3PMR-3756,Irmatrix3.cpp , HLR Decomposition from module:  \maverick\source\Irmatrix3.cpp
CX3PMR-3756,Irquat.cpp , HLR Decomposition from module:  \maverick\source\Irquat.cpp
CX3PMR-3756,Irvector3.cpp , HLR Decomposition from module:  \maverick\source\Irvector3.cpp
CX3PMR-3756,Lscov.cpp , HLR Decomposition from module:  \maverick\source\Lscov.cpp
CX3PMR-3756,Mangle_rate.cpp , HLR Decomposition from module:  \maverick\source\Mangle_rate.cpp
CX3PMR-3756,Moving_average.cpp , HLR Decomposition from module:  \maverick\source\Moving_average.cpp
CX3PMR-3756,Nllpf.cpp , HLR Decomposition from module:  \maverick\source\Nllpf.cpp
CX3PMR-3756,Nllpfcfg.cpp , HLR Decomposition from module:  \maverick\source\Nllpfcfg.cpp
CX3PMR-3756,Notch_cfg.cpp , HLR Decomposition from module:  \maverick\source\Notch_cfg.cpp
CX3PMR-3756,Notch_lpf_cfg.cpp , HLR Decomposition from module:  \maverick\source\Notch_lpf_cfg.cpp
CX3PMR-3756,Park.cpp , HLR Decomposition from module:  \maverick\source\Park.cpp
CX3PMR-3756,R64matrix3.cpp , HLR Decomposition from module:  \maverick\source\R64matrix3.cpp
CX3PMR-3756,R64vector3.cpp , HLR Decomposition from module:  \maverick\source\R64vector3.cpp
CX3PMR-3756,Ratelimiter.cpp , HLR Decomposition from module:  \maverick\source\Ratelimiter.cpp
CX3PMR-3756,Rmatrix.cpp , HLR Decomposition from module:  \maverick\source\Rmatrix.cpp
CX3PMR-3756,Rmatrix3.cpp , HLR Decomposition from module:  \maverick\source\Rmatrix3.cpp
CX3PMR-3756,Rquat.cpp , HLR Decomposition from module:  \maverick\source\Rquat.cpp
CX3PMR-3756,Rtable.cpp , HLR Decomposition from module:  \maverick\source\Rtable.cpp
CX3PMR-3756,Rtable3d.cpp , HLR Decomposition from module:  \maverick\source\Rtable3d.cpp
CX3PMR-3756,Rv1mean.cpp , HLR Decomposition from module:  \maverick\source\Rv1mean.cpp
CX3PMR-3756,Rv1means2.cpp , HLR Decomposition from module:  \maverick\source\Rv1means2.cpp
CX3PMR-3756,Rvector.cpp , HLR Decomposition from module:  \maverick\source\Rvector.cpp
CX3PMR-3756,Rvector2.cpp , HLR Decomposition from module:  \maverick\source\Rvector2.cpp
CX3PMR-3756,Rvector3.cpp , HLR Decomposition from module:  \maverick\source\Rvector3.cpp
CX3PMR-3756,Svgen.cpp , HLR Decomposition from module:  \maverick\source\Svgen.cpp
CX3PMR-3756,Wrapper.cpp , HLR Decomposition from module:  \maverick\source\Wrapper.cpp
