Epic,Module,Description
CX3PMR-3758,Arinc_consumer.cpp , HLR Decomposition from module:  \midlevel\source\Arinc_consumer.cpp
CX3PMR-3758,Arinc_producer.cpp , HLR Decomposition from module:  \midlevel\source\Arinc_producer.cpp
CX3PMR-3758,CAN_hi_speed_tm.cpp , HLR Decomposition from module:  \midlevel\source\CAN_hi_speed_tm.cpp
CX3PMR-3758,CAN_term_cfg.cpp , HLR Decomposition from module:  \midlevel\source\CAN_term_cfg.cpp
CX3PMR-3758,Cappps_cfg.cpp , HLR Decomposition from module:  \midlevel\source\Cappps_cfg.cpp
CX3PMR-3758,Cappps.cpp , HLR Decomposition from module:  \midlevel\source\Cappps.cpp
CX3PMR-3758,Cappulse_cfg.cpp , HLR Decomposition from module:  \midlevel\source\Cappulse_cfg.cpp
CX3PMR-3758,Cappulse.cpp , HLR Decomposition from module:  \midlevel\source\Cappulse.cpp
CX3PMR-3758,Check_sender.cpp , HLR Decomposition from module:  \midlevel\source\Check_sender.cpp
CX3PMR-3758,Cmdmgr.cpp , HLR Decomposition from module:  \midlevel\source\Cmdmgr.cpp
CX3PMR-3758,Comstats.cpp , HLR Decomposition from module:  \midlevel\source\Comstats.cpp
CX3PMR-3758,Conf_check_query.cpp , HLR Decomposition from module:  \midlevel\source\Conf_check_query.cpp
CX3PMR-3758,Cy_ch1_gpio_state.cpp , HLR Decomposition from module:  \midlevel\source\Cy_ch1_gpio_state.cpp
CX3PMR-3758,Cy_ch1_LRU_power_st.cpp , HLR Decomposition from module:  \midlevel\source\Cy_ch1_LRU_power_st.cpp
CX3PMR-3758,Cy_ch1_power_rail_st.cpp , HLR Decomposition from module:  \midlevel\source\Cy_ch1_power_rail_st.cpp
CX3PMR-3758,Cy_common_gpio_pin_sts.cpp , HLR Decomposition from module:  \midlevel\source\Cy_common_gpio_pin_sts.cpp
CX3PMR-3758,Cy_compute_unit_status.cpp , HLR Decomposition from module:  \midlevel\source\Cy_compute_unit_status.cpp
CX3PMR-3758,Cy_configurable_efuse_st.cpp , HLR Decomposition from module:  \midlevel\source\Cy_configurable_efuse_st.cpp
CX3PMR-3758,Cy_digital_pin_st_cmd.cpp , HLR Decomposition from module:  \midlevel\source\Cy_digital_pin_st_cmd.cpp
CX3PMR-3758,Cy_drone_mode.cpp , HLR Decomposition from module:  \midlevel\source\Cy_drone_mode.cpp
CX3PMR-3758,Cy_extent_type_ser.cpp , HLR Decomposition from module:  \midlevel\source\Cy_extent_type_ser.cpp
CX3PMR-3758,Cy_fan_controller_st.cpp , HLR Decomposition from module:  \midlevel\source\Cy_fan_controller_st.cpp
CX3PMR-3758,Cy_heartbeat_tx.cpp , HLR Decomposition from module:  \midlevel\source\Cy_heartbeat_tx.cpp
CX3PMR-3758,Cy_lighting_status.cpp , HLR Decomposition from module:  \midlevel\source\Cy_lighting_status.cpp
CX3PMR-3758,Cy_maintenance_port_status.cpp , HLR Decomposition from module:  \midlevel\source\Cy_maintenance_port_status.cpp
CX3PMR-3758,Cy_meas_gnss.cpp , HLR Decomposition from module:  \midlevel\source\Cy_meas_gnss.cpp
CX3PMR-3758,Cy_mode_transition_allowed.cpp , HLR Decomposition from module:  \midlevel\source\Cy_mode_transition_allowed.cpp
CX3PMR-3758,Cy_mode_transition.cpp , HLR Decomposition from module:  \midlevel\source\Cy_mode_transition.cpp
CX3PMR-3758,Cy_msg_id_gen.cpp , HLR Decomposition from module:  \midlevel\source\Cy_msg_id_gen.cpp
CX3PMR-3758,Cy_nav_gnss.cpp , HLR Decomposition from module:  \midlevel\source\Cy_nav_gnss.cpp
CX3PMR-3758,Cy_nav_sens_sender.cpp , HLR Decomposition from module:  \midlevel\source\Cy_nav_sens_sender.cpp
CX3PMR-3758,Cy_node_info_mgr.cpp , HLR Decomposition from module:  \midlevel\source\Cy_node_info_mgr.cpp
CX3PMR-3758,Cy_node_info.cpp , HLR Decomposition from module:  \midlevel\source\Cy_node_info.cpp
CX3PMR-3758,Cy_raw_meas_gnss_compact.cpp , HLR Decomposition from module:  \midlevel\source\Cy_raw_meas_gnss_compact.cpp
CX3PMR-3758,Cy_soft_conf_check.cpp , HLR Decomposition from module:  \midlevel\source\Cy_soft_conf_check.cpp
CX3PMR-3758,Cy_viis_setter.cpp , HLR Decomposition from module:  \midlevel\source\Cy_viis_setter.cpp
CX3PMR-3758,Cyphal_msg_trig.cpp , HLR Decomposition from module:  \midlevel\source\Cyphal_msg_trig.cpp
CX3PMR-3758,Cyphal_rx_hnd.cpp , HLR Decomposition from module:  \midlevel\source\Cyphal_rx_hnd.cpp
CX3PMR-3758,Cyphal_rx_mgr.cpp , HLR Decomposition from module:  \midlevel\source\Cyphal_rx_mgr.cpp
CX3PMR-3758,Cyphal_suite.cpp , HLR Decomposition from module:  \midlevel\source\Cyphal_suite.cpp
CX3PMR-3758,Cyphal_tx_mgr.cpp , HLR Decomposition from module:  \midlevel\source\Cyphal_tx_mgr.cpp
CX3PMR-3758,CyphalCAN_in.cpp , HLR Decomposition from module:  \midlevel\source\CyphalCAN_in.cpp
CX3PMR-3758,CyphalCAN_out.cpp , HLR Decomposition from module:  \midlevel\source\CyphalCAN_out.cpp
CX3PMR-3758,CyphalStanag_out.cpp , HLR Decomposition from module:  \midlevel\source\CyphalStanag_out.cpp
CX3PMR-3758,CyphalStanag_rx_hnd.cpp , HLR Decomposition from module:  \midlevel\source\CyphalStanag_rx_hnd.cpp
CX3PMR-3758,CyphalStanag_tx_hnd.cpp , HLR Decomposition from module:  \midlevel\source\CyphalStanag_tx_hnd.cpp
CX3PMR-3758,Default_cfg.cpp , HLR Decomposition from module:  \midlevel\source\Default_cfg.cpp
CX3PMR-3758,Disabled_stick.cpp , HLR Decomposition from module:  \midlevel\source\Disabled_stick.cpp
CX3PMR-3758,ECAP_producer.cpp , HLR Decomposition from module:  \midlevel\source\ECAP_producer.cpp
CX3PMR-3758,ECC.cpp , HLR Decomposition from module:  \midlevel\source\ECC.cpp
CX3PMR-3758,Errors_irx.cpp , HLR Decomposition from module:  \midlevel\source\Errors_irx.cpp
CX3PMR-3758,Frequency_measurer.cpp , HLR Decomposition from module:  \midlevel\source\Frequency_measurer.cpp
CX3PMR-3758,GPIOicnt_check.cpp , HLR Decomposition from module:  \midlevel\source\GPIOicnt_check.cpp
CX3PMR-3758,GPIOsuite_varhnd.cpp , HLR Decomposition from module:  \midlevel\source\GPIOsuite_varhnd.cpp
CX3PMR-3758,I2Cirx.cpp , HLR Decomposition from module:  \midlevel\source\I2Cirx.cpp
CX3PMR-3758,Imu_reader_filter.cpp , HLR Decomposition from module:  \midlevel\source\Imu_reader_filter.cpp
CX3PMR-3758,IP_cfg_pa.cpp , HLR Decomposition from module:  \midlevel\source\IP_cfg_pa.cpp
CX3PMR-3758,IP_cfg.cpp , HLR Decomposition from module:  \midlevel\source\IP_cfg.cpp
CX3PMR-3758,Irxfw.cpp , HLR Decomposition from module:  \midlevel\source\Irxfw.cpp
CX3PMR-3758,Lights_mgr.cpp , HLR Decomposition from module:  \midlevel\source\Lights_mgr.cpp
CX3PMR-3758,Meas_GPS_raw_time.cpp , HLR Decomposition from module:  \midlevel\source\Meas_GPS_raw_time.cpp
CX3PMR-3758,Monotonic_time.cpp , HLR Decomposition from module:  \midlevel\source\Monotonic_time.cpp
CX3PMR-3758,Msg_sender_action.cpp , HLR Decomposition from module:  \midlevel\source\Msg_sender_action.cpp
CX3PMR-3758,Otp_irxmgr.cpp , HLR Decomposition from module:  \midlevel\source\Otp_irxmgr.cpp
CX3PMR-3758,Parametercal.cpp , HLR Decomposition from module:  \midlevel\source\Parametercal.cpp
CX3PMR-3758,Phase_curr_amp.cpp , HLR Decomposition from module:  \midlevel\source\Phase_curr_amp.cpp
CX3PMR-3758,Phase_curr.cpp , HLR Decomposition from module:  \midlevel\source\Phase_curr.cpp
CX3PMR-3758,Pulse_duty.cpp , HLR Decomposition from module:  \midlevel\source\Pulse_duty.cpp
CX3PMR-3758,Radio_sync_cfg.cpp , HLR Decomposition from module:  \midlevel\source\Radio_sync_cfg.cpp
CX3PMR-3758,Secure_CAN.cpp , HLR Decomposition from module:  \midlevel\source\Secure_CAN.cpp
CX3PMR-3758,Sensor.cpp , HLR Decomposition from module:  \midlevel\source\Sensor.cpp
CX3PMR-3758,Sensor3D.cpp , HLR Decomposition from module:  \midlevel\source\Sensor3D.cpp
CX3PMR-3758,Sensor3Dset.cpp , HLR Decomposition from module:  \midlevel\source\Sensor3Dset.cpp
