Epic,Module,Description
CX3PMR-3763,CAN_cfg_maint_astro.cpp , HLR Decomposition from module:  \vpgnc\source\pa\CAN_cfg_maint_astro.cpp
CX3PMR-3763,CAN_cfg_maint_ver.cpp , HLR Decomposition from module:  \vpgnc\source\ver\CAN_cfg_maint_ver.cpp
CX3PMR-3763,Initial.cpp , HLR Decomposition from module:  \vpgnc\source\ver\Initial.cpp
CX3PMR-3763,Loiter_stg_cfg.cpp , HLR Decomposition from module:  \vpgnc\source\ver\Loiter_stg_cfg.cpp
CX3PMR-3763,Navcmd.cpp , HLR Decomposition from module:  \vpgnc\source\ver\Navcmd.cpp
CX3PMR-3763,Patchsets.cpp , HLR Decomposition from module:  \vpgnc\source\ver\Patchsets.cpp
CX3PMR-3763,Poscmd.cpp , HLR Decomposition from module:  \vpgnc\source\ver\Poscmd.cpp
CX3PMR-3763,Rendezvous.cpp , HLR Decomposition from module:  \vpgnc\source\ver\Rendezvous.cpp
CX3PMR-3763,Stg_slave_location.cpp , HLR Decomposition from module:  \vpgnc\source\ver\Stg_slave_location.cpp
CX3PMR-3763,Umission.cpp , HLR Decomposition from module:  \vpgnc\source\ver\Umission.cpp
CX3PMR-3763,Vom_cmd.cpp , HLR Decomposition from module:  \vpgnc\source\ver\Vom_cmd.cpp
CX3PMR-3763,Yawcmd.cpp , HLR Decomposition from module:  \vpgnc\source\ver\Yawcmd.cpp
CX3PMR-3763,Accelimit.cpp , HLR Decomposition from module:  \vpgnc\source\Accelimit.cpp
CX3PMR-3763,Airframe_action_wp_data.cpp , HLR Decomposition from module:  \vpgnc\source\Airframe_action_wp_data.cpp
CX3PMR-3763,Airframe_action_wp_publish.cpp , HLR Decomposition from module:  \vpgnc\source\Airframe_action_wp_publish.cpp
CX3PMR-3763,Airframe_action_wp.cpp , HLR Decomposition from module:  \vpgnc\source\Airframe_action_wp.cpp
CX3PMR-3763,Alt2D.cpp , HLR Decomposition from module:  \vpgnc\source\Alt2D.cpp
CX3PMR-3763,Altitude_updater.cpp , HLR Decomposition from module:  \vpgnc\source\Altitude_updater.cpp
CX3PMR-3763,Approach.cpp , HLR Decomposition from module:  \vpgnc\source\Approach.cpp
CX3PMR-3763,Arc.cpp , HLR Decomposition from module:  \vpgnc\source\Arc.cpp
CX3PMR-3763,Arcaxis.cpp , HLR Decomposition from module:  \vpgnc\source\Arcaxis.cpp
CX3PMR-3763,Arctrim.cpp , HLR Decomposition from module:  \vpgnc\source\Arctrim.cpp
CX3PMR-3763,Arcxset.cpp , HLR Decomposition from module:  \vpgnc\source\Arcxset.cpp
CX3PMR-3763,Calibration.cpp , HLR Decomposition from module:  \vpgnc\source\Calibration.cpp
CX3PMR-3763,Climb.cpp , HLR Decomposition from module:  \vpgnc\source\Climb.cpp
CX3PMR-3763,Def_contingency_data.cpp , HLR Decomposition from module:  \vpgnc\source\Def_contingency_data.cpp
CX3PMR-3763,Def_contingency.cpp , HLR Decomposition from module:  \vpgnc\source\Def_contingency.cpp
CX3PMR-3763,Demcmd.cpp , HLR Decomposition from module:  \vpgnc\source\Demcmd.cpp
CX3PMR-3763,Detour.cpp , HLR Decomposition from module:  \vpgnc\source\Detour.cpp
CX3PMR-3763,Ellipse.cpp , HLR Decomposition from module:  \vpgnc\source\Ellipse.cpp
CX3PMR-3763,Envelope.cpp , HLR Decomposition from module:  \vpgnc\source\Envelope.cpp
CX3PMR-3763,Event_inside_checker_amz.cpp , HLR Decomposition from module:  \vpgnc\source\Event_inside_checker_amz.cpp
CX3PMR-3763,Event_inside_checker_ver.cpp , HLR Decomposition from module:  \vpgnc\source\Event_inside_checker_ver.cpp
CX3PMR-3763,Event.cpp , HLR Decomposition from module:  \vpgnc\source\Event.cpp
CX3PMR-3763,Evt_wp_groups.cpp , HLR Decomposition from module:  \vpgnc\source\Evt_wp_groups.cpp
CX3PMR-3763,Evtmgr.cpp , HLR Decomposition from module:  \vpgnc\source\Evtmgr.cpp
CX3PMR-3763,Ftsactcmd.cpp , HLR Decomposition from module:  \vpgnc\source\Ftsactcmd.cpp
CX3PMR-3763,Gcurve.cpp , HLR Decomposition from module:  \vpgnc\source\Gcurve.cpp
CX3PMR-3763,Gnssdata.cpp , HLR Decomposition from module:  \vpgnc\source\Gnssdata.cpp
CX3PMR-3763,GPIOcmd.cpp , HLR Decomposition from module:  \vpgnc\source\GPIOcmd.cpp
CX3PMR-3763,Gravity_extractor.cpp , HLR Decomposition from module:  \vpgnc\source\Gravity_extractor.cpp
CX3PMR-3763,Grids_impl.cpp , HLR Decomposition from module:  \vpgnc\source\Grids_impl.cpp
CX3PMR-3763,Gtrack.cpp , HLR Decomposition from module:  \vpgnc\source\Gtrack.cpp
CX3PMR-3763,Gtrackcfg.cpp , HLR Decomposition from module:  \vpgnc\source\Gtrackcfg.cpp
CX3PMR-3763,Guid_pid.cpp , HLR Decomposition from module:  \vpgnc\source\Guid_pid.cpp
CX3PMR-3763,Guidance.cpp , HLR Decomposition from module:  \vpgnc\source\Guidance.cpp
CX3PMR-3763,Hover_data.cpp , HLR Decomposition from module:  \vpgnc\source\Hover_data.cpp
CX3PMR-3763,Htype_stanag_helper.cpp , HLR Decomposition from module:  \vpgnc\source\Htype_stanag_helper.cpp
CX3PMR-3763,Icurve.cpp , HLR Decomposition from module:  \vpgnc\source\Icurve.cpp
CX3PMR-3763,Leg.cpp , HLR Decomposition from module:  \vpgnc\source\Leg.cpp
CX3PMR-3763,Line.cpp , HLR Decomposition from module:  \vpgnc\source\Line.cpp
CX3PMR-3763,Loiter_data.cpp , HLR Decomposition from module:  \vpgnc\source\Loiter_data.cpp
CX3PMR-3763,Mem_log_ctrl.cpp , HLR Decomposition from module:  \vpgnc\source\Mem_log_ctrl.cpp
CX3PMR-3763,Meta.cpp , HLR Decomposition from module:  \vpgnc\source\Meta.cpp
CX3PMR-3763,Modeconf.cpp , HLR Decomposition from module:  \vpgnc\source\Modeconf.cpp
CX3PMR-3763,Navextvar.cpp , HLR Decomposition from module:  \vpgnc\source\Navextvar.cpp
CX3PMR-3763,Operator_pos.cpp , HLR Decomposition from module:  \vpgnc\source\Operator_pos.cpp
CX3PMR-3763,Opmgr.cpp , HLR Decomposition from module:  \vpgnc\source\Opmgr.cpp
CX3PMR-3763,Opranges.cpp , HLR Decomposition from module:  \vpgnc\source\Opranges.cpp
CX3PMR-3763,Oprvar.cpp , HLR Decomposition from module:  \vpgnc\source\Oprvar.cpp
CX3PMR-3763,Orthodrome.cpp , HLR Decomposition from module:  \vpgnc\source\Orthodrome.cpp
CX3PMR-3763,Patchset.cpp , HLR Decomposition from module:  \vpgnc\source\Patchset.cpp
CX3PMR-3763,Patchsetcfg.cpp , HLR Decomposition from module:  \vpgnc\source\Patchsetcfg.cpp
CX3PMR-3763,Patchtypes.cpp , HLR Decomposition from module:  \vpgnc\source\Patchtypes.cpp
CX3PMR-3763,Point.cpp , HLR Decomposition from module:  \vpgnc\source\Point.cpp
CX3PMR-3763,Polar.cpp , HLR Decomposition from module:  \vpgnc\source\Polar.cpp
CX3PMR-3763,Polymgr_impl_amz.cpp , HLR Decomposition from module:  \vpgnc\source\Polymgr_impl_amz.cpp
CX3PMR-3763,Polymgr_impl_ver.cpp , HLR Decomposition from module:  \vpgnc\source\Polymgr_impl_ver.cpp
CX3PMR-3763,Posfix.cpp , HLR Decomposition from module:  \vpgnc\source\Posfix.cpp
CX3PMR-3763,Rains.cpp , HLR Decomposition from module:  \vpgnc\source\Rains.cpp
CX3PMR-3763,Rmark.cpp , HLR Decomposition from module:  \vpgnc\source\Rmark.cpp
CX3PMR-3763,Rmarkmgr.cpp , HLR Decomposition from module:  \vpgnc\source\Rmarkmgr.cpp
CX3PMR-3763,Route.cpp , HLR Decomposition from module:  \vpgnc\source\Route.cpp
CX3PMR-3763,Rvar_op_commit.cpp , HLR Decomposition from module:  \vpgnc\source\Rvar_op_commit.cpp
CX3PMR-3763,Spatchset.cpp , HLR Decomposition from module:  \vpgnc\source\Spatchset.cpp
CX3PMR-3763,Speed_cfg.cpp , HLR Decomposition from module:  \vpgnc\source\Speed_cfg.cpp
CX3PMR-3763,Speedcmd.cpp , HLR Decomposition from module:  \vpgnc\source\Speedcmd.cpp
CX3PMR-3763,Srtm_get_cmd.cpp , HLR Decomposition from module:  \vpgnc\source\Srtm_get_cmd.cpp
CX3PMR-3763,Start.cpp , HLR Decomposition from module:  \vpgnc\source\Start.cpp
CX3PMR-3763,Taxi.cpp , HLR Decomposition from module:  \vpgnc\source\Taxi.cpp
CX3PMR-3763,Tpatchset.cpp , HLR Decomposition from module:  \vpgnc\source\Tpatchset.cpp
CX3PMR-3763,Track.cpp , HLR Decomposition from module:  \vpgnc\source\Track.cpp
CX3PMR-3763,Tunpatchset.cpp , HLR Decomposition from module:  \vpgnc\source\Tunpatchset.cpp
CX3PMR-3763,UA_loiter_wp.cpp , HLR Decomposition from module:  \vpgnc\source\vpgnc\source\UA_loiter_wp.cpp
CX3PMR-3763,UA_pos_wp_data.cpp , HLR Decomposition from module:  \vpgnc\source\UA_pos_wp_data.cpp
CX3PMR-3763,UA_pos_wp.cpp , HLR Decomposition from module:  \vpgnc\source\UA_pos_wp.cpp
CX3PMR-3763,Ussa76calib.cpp , HLR Decomposition from module:  \vpgnc\source\Ussa76calib.cpp
CX3PMR-3763,Ussa76cmd.cpp , HLR Decomposition from module:  \vpgnc\source\Ussa76cmd.cpp
CX3PMR-3763,Ussa76ex.cpp , HLR Decomposition from module:  \vpgnc\source\Ussa76ex.cpp
CX3PMR-3763,Varguide.cpp , HLR Decomposition from module:  \vpgnc\source\Varguide.cpp
CX3PMR-3763,Varinit.cpp , HLR Decomposition from module:  \vpgnc\source\Varinit.cpp
CX3PMR-3763,Varvpu.cpp , HLR Decomposition from module:  \vpgnc\source\Varvpu.cpp
CX3PMR-3763,Vcmd.cpp , HLR Decomposition from module:  \vpgnc\source\Vcmd.cpp
CX3PMR-3763,Vehicle_spec_wp_data.cpp , HLR Decomposition from module:  \vpgnc\source\Vehicle_spec_wp_data.cpp
CX3PMR-3763,Vehicle_spec_wp.cpp , HLR Decomposition from module:  \vpgnc\source\Vehicle_spec_wp.cpp
